"","D3400/05","D4182/05","D4909/05","D5251/05","D1802/05","D2004/05","D2060/05","D2198/05","D3692/05","D4974/05","D324/06","D516/06","D2470/05","D131/06","D1945/05","D4387/05","D5131/05","D5197/05","D5238/05","D939/06","D2401/05","D2541/05","D3866/05","D2723/05","D2897/05","D3310/05","D3383/05","D4229/05","D5250/05","D14/06","D25/06","D282/06","D2267/05","D794/06","D1143/06","D1777/05","D2347/05","D3302/05","D1699/05","D2588/05","D3802/05","D4003/05","D4294/05","D4325/05","D4326/05","D34/06","D132/06","D775/06","D883/06","D1833/05","D4977/05","D252/06","D1881/05","D2271/05","D2831/05","D3714/05","D3998/05","D4083/05","D5151/05","D895/06","D1126/06","D2520/05","D3542/05","D3584/05","D4557/05","D1080/06","D2597/05","D3363/05","D3493/05","D3520/05","D4399/05","D4477/05","D308/06","D384/06","D1587/05","D2223/05","D2467/05","D977/06","D2046/05","D2203/05","D3687/05","D4115/05","D4754/05","D5303/05","D5349/05","D5382/05","D5386/05","D431/06","D1043/06","D1595/05","D1716/05","D3890/05","D3893/05","D4383/05","D5387/05","D133/06","D1102/06","D3879/05","D4737/05","D5381/05","D36/06","D918/06","D1130/06","D3616/05","D5297/05","D5323/05","D887/06","D2090/05","D4055/05","D271/06","D2013/05","D2896/05","D3252/05","D3820/05","D4677/05","D425/06","D1903/05","D4813/05","D137/06","D454/06","D1726/05","D1954/05","D2018/05","D3380/05","D3690/05","D4499/05","D436/06","D1949/05","D2156/05","D2592/05","D2835/05","D4936/05","D711/06","D743/06","D1068/06","D3060/05","D3837/05","D4392/05","D1635/05","D2128/05","D2383/05","D4654/05","D1614/05","D2551/05","D2803/05","D3860/05","D4051/05","D603/06","D1717/05","D1811/05","D2775/05","D3622/05","D4053/05","D4106/05","D5177/05","D5281/05","D217/06","D654/06","D1818/05","D2021/05","D3642/05","D4449/05","D837/06","D931/06","D2989/05","D4250/05","D689/06","D1039/06","D3142/05","D4606/05","D78/06","D435/06","D2417/05","D2594/05","D3053/05","D3526/05","D3544/05","D3736/05","D4149/05","D5155/05","D254/06","D288/06","D4084/05","D4605/05","D4948/05","D5179/05","D5227/05","D5257/05","D214/06","D375/06","D2135/05","D2653/05","D3284/05","D4673/05","D5027/05","D668/06","D994/06","D2325/05","D2828/05","D2914/05","D2934/05","D3061/05","D4546/05","D1166/06","D2969/05","D3680/05","D3688/05","D3705/05","D3872/05","D4082/05","D4432/05","D2548/05","D4390/05","D4490/05","D4826/05","D624/06","D2020/05","D5107/05","D840/06","D1704/05","D2280/05","D2348/05","D2529/05","D2655/05","D3241/05","D4132/05","D4207/05","D5391/05","D671/06","D926/06","D1091/06","D1795/05","D1929/05","D2207/05","D3613/05","D4340/05","D4409/05","D5144/05","D463/06","D605/06","D2675/05","D3347/05","D3807/05","D4735/05","D4963/05","D879/06"
"462","14.80447","14.73919","14.70769","14.79732","14.53114","14.84270","14.73365","14.37180","14.63408","14.75037","14.87193","14.89318","14.76846","14.94634","14.66712","14.77319","14.96024","14.90128","14.76547","14.86363","14.80734","14.80758","14.84083","14.59072","14.82454","14.57606","14.58797","14.52984","14.78619","14.76088","14.88937","14.74193","14.76224","14.56982","14.72768","14.94539","14.55801","14.78988","14.71960","14.93395","14.93383","14.89135","15.01022","14.77697","14.85590","14.80034","14.78360","14.58788","14.65175","14.98312","14.82492","14.57925","14.98130","14.91069","14.27751","14.58836","14.74082","14.52917","14.82680","14.54615","14.71722","14.94032","14.79115","14.83542","14.71007","14.74711","14.58915","14.80245","14.82717","14.65557","14.44403","14.75191","14.66649","14.81361","14.74391","14.84979","14.71162","14.57816","14.73193","14.66289","14.83918","14.66905","14.64524","14.73896","14.91635","14.86513","14.83051","14.64082","14.82506","14.79931","14.81755","14.76207","14.77630","14.85028","14.53060","14.56649","14.74193","14.91589","14.65906","14.70301","14.73793","14.48186","14.70901","14.71842","14.51104","14.72518","14.84940","14.99182","14.98529","15.00835","14.69942","14.81616","14.87837","14.92522","14.71214","14.74767","14.75568","14.77566","14.69383","14.77332","14.78122","14.78274","14.67965","14.81300","14.73207","14.70408","14.61166","14.32277","14.50339","14.76259","14.47715","14.70566","14.85543","14.82545","14.87006","14.89909","14.88663","14.75733","14.89628","14.80642","14.78391","14.80075","14.71660","14.47468","14.68362","14.54059","14.84254","14.64211","14.89047","14.68739","14.77596","14.65231","14.63767","14.65315","14.64747","14.74908","14.68265","14.69519","14.70636","14.85519","15.00420","14.49538","14.86670","14.68272","14.67533","14.82442","14.72260","14.79686","14.49642","14.49491","14.80125","14.79937","14.86099","14.80874","14.48868","14.80025","14.68942","14.59756","14.65537","14.52938","14.73816","14.67258","14.70337","14.57492","14.87993","14.68064","14.92239","14.96607","14.68923","14.42453","14.92702","14.84428","14.81857","14.59859","14.68053","14.74063","14.95338","14.89300","14.72783","15.04118","14.92875","14.75852","14.85496","14.87714","14.54127","14.70452","14.85909","14.76277","14.71493","14.92006","14.71161","14.77459","14.59114","14.52604","14.79111","14.64888","14.64936","14.47896","14.85978","14.72873","14.64229","14.74472","14.69020","14.89568","14.47123","14.54591","14.56822","14.62660","14.98690","14.84341","14.89252","14.69496","14.37510","14.66110","14.38360","14.63232","14.77055","14.78031","14.81459","14.82360","14.66282","14.71293","14.64144","14.76530","14.94959","14.85326"
"563","13.85750","13.92077","14.03964","13.90447","13.58024","14.12670","14.00643","13.74742","14.14636","13.82087","13.68777","13.88560","13.80157","14.21420","13.66241","14.02093","13.63779","13.87417","14.06870","14.08904","14.25088","13.84864","13.93523","13.84971","13.64456","14.00830","13.58560","14.03414","14.00835","13.89611","14.12554","13.81364","13.87328","13.53959","13.82030","13.98808","13.97771","13.87369","13.92918","14.00677","13.87011","14.14754","13.89399","13.97599","13.99101","13.95219","14.03115","13.62663","13.89431","13.90289","13.70320","13.95552","14.24741","14.13710","13.86332","13.95370","14.00700","13.91619","13.90416","13.81932","13.78109","13.97195","13.97840","13.87996","13.92831","14.25335","13.85278","14.11194","14.40778","14.03288","13.89097","13.90985","13.76278","13.98618","13.99381","13.92910","14.14684","14.01468","13.96175","13.66057","14.21404","13.98302","14.01270","14.27340","13.74093","13.88655","13.96478","13.89095","13.85252","14.10829","13.64045","13.77385","13.84671","14.01802","13.71355","13.82722","13.74664","14.10917","13.78711","13.98316","13.77911","13.88905","13.95044","13.85620","13.77708","13.71135","13.79827","13.86171","14.06012","13.96879","13.82178","13.70063","13.67378","13.91211","13.87011","14.12584","14.02972","13.72349","13.92372","13.98062","14.27596","14.07996","14.11565","13.99542","13.64982","13.67546","13.69203","13.91102","13.92710","13.86054","13.79022","13.74666","13.83796","13.81402","13.91067","14.25414","13.66570","14.03027","13.97496","13.98096","13.99261","13.69906","14.11423","13.76337","14.08436","13.78067","13.89149","13.63984","14.03519","14.05319","13.93518","13.69182","13.73477","13.75649","13.89797","13.91366","13.94329","13.72035","13.95974","13.99044","13.84600","13.59254","13.94760","13.61683","13.84004","14.09422","13.89525","14.04125","13.64379","13.82004","13.95368","13.94961","13.81220","14.03728","13.69664","13.68438","14.31703","14.03127","13.75736","13.61523","14.08282","14.12952","14.01222","13.84269","14.08601","13.82357","14.04052","14.07874","13.85792","13.82167","14.08931","14.17934","14.26160","13.94788","13.85545","13.80021","13.98974","14.05747","14.13640","14.01306","13.97508","13.69412","13.72252","14.24602","14.19241","14.06028","13.84851","13.83729","13.84127","13.84169","14.38002","13.99639","13.89524","13.88129","13.97094","14.01764","13.97377","13.93838","14.22038","14.07198","13.92908","14.02843","13.87130","13.98885","14.07467","13.98814","13.77919","13.88471","14.03306","14.02189","13.99032","14.19942","13.70107","13.93359","14.14320","14.52931","13.88045","14.15859","13.85311","13.88894","14.21296","13.96254","14.22270","14.13606","14.15861","13.78715"
"629","13.79751","14.42744","13.81622","14.27396","14.43742","13.95750","14.16416","13.75506","14.10589","13.92604","13.78568","14.32819","14.10450","14.33980","13.88751","14.39915","14.06335","13.99291","14.07977","14.32249","13.94819","14.24603","14.07276","14.07016","13.79881","13.96488","14.21695","14.33966","14.14903","14.11068","14.14238","13.79325","14.24877","13.87772","13.93260","14.04182","14.15188","13.91422","14.26457","14.06173","14.15253","14.20555","14.31775","13.89027","14.40267","13.90828","14.31386","13.79576","14.08345","14.30558","14.19216","14.09118","14.02649","14.03870","14.07668","13.87952","14.04066","14.46429","13.82562","13.86516","14.26312","14.10826","13.75684","13.68589","13.84958","14.57397","14.23510","14.01023","14.09918","13.99554","14.26066","14.12631","14.06525","14.08063","13.91860","13.97064","14.14556","13.78018","14.10961","14.43935","13.85773","14.12658","14.16349","14.08368","14.48133","13.81294","14.42794","14.15677","14.34531","14.25656","14.29824","14.35002","14.21422","14.17724","14.27626","13.92501","14.01318","14.45932","14.06956","13.91496","14.04147","14.20040","14.24938","14.13805","14.19217","14.10211","13.92936","14.04414","14.15234","14.00748","14.02224","13.86550","14.28527","14.16294","14.43457","13.82062","14.46273","14.06387","13.96020","14.24276","14.50608","14.14228","14.02280","13.77512","14.21130","13.97392","13.89084","13.92644","14.23442","13.90359","14.04580","13.97488","14.03026","14.08053","14.12639","13.53138","13.99154","14.27045","13.67293","14.07286","14.28727","14.34447","13.91257","14.02515","13.89387","14.28651","14.01094","14.26857","14.13157","13.88980","14.20861","14.01236","14.13586","14.14644","14.14111","13.90861","13.99818","14.45030","14.11107","13.84673","14.27418","14.43734","13.86689","14.04753","14.11856","13.99193","14.25044","13.88078","13.70338","13.80103","14.41340","14.03085","14.09263","14.09660","14.34973","13.58762","14.15109","14.40293","14.31355","14.21042","13.85894","14.16386","14.18932","14.04195","14.01254","14.62025","14.14830","14.33235","14.43231","14.35963","14.34418","14.06134","14.27538","13.79501","13.96170","14.12425","13.76039","14.25689","14.17962","14.07617","14.39011","14.05083","13.78729","13.96914","14.05151","13.93043","14.12939","14.19579","14.17787","13.91369","14.14765","14.17513","13.85386","14.31221","14.01716","14.07561","14.04971","14.35722","14.54071","13.82127","14.07887","13.75565","14.13990","13.92932","13.66110","14.09980","13.88064","14.17488","14.07950","14.28765","14.06482","13.83495","14.25707","13.94707","14.01713","13.84996","14.04908","13.82206","13.93554","14.04872","14.07711","13.97564","13.73297","14.00948","13.98428","14.16504"
"710","14.15377","13.68946","13.85146","14.04236","13.95973","13.90115","13.78709","13.57504","14.20256","14.03182","13.65663","13.76102","13.77914","14.06727","13.79243","14.20231","13.83931","13.87959","14.13680","14.11028","14.29072","13.93676","14.07482","13.79414","13.72235","13.61348","13.84815","14.02823","13.80483","13.82425","13.89182","13.96240","14.30015","13.66217","14.19324","13.71807","13.66223","13.83577","14.00099","13.89587","14.04189","13.99961","13.85531","13.80325","14.58903","14.04951","13.66294","13.81764","13.76648","14.19252","13.92339","14.09412","13.42669","14.39134","14.44660","13.78481","13.99066","13.79941","13.55981","13.91446","14.20357","14.03311","14.08946","14.24708","13.69455","14.07973","13.95670","14.10785","14.14239","13.86326","13.81671","14.12612","13.99940","14.10477","13.79495","13.78388","13.89279","13.57358","13.91406","14.14490","13.91492","14.28144","13.88565","14.16930","14.41634","13.94519","13.88064","13.88731","13.90798","13.84436","13.90534","14.01691","14.36730","13.96569","14.10342","14.16859","13.94670","13.87671","14.42996","13.79072","13.72362","14.14880","13.79561","13.85051","13.80603","14.06907","14.01521","13.58861","14.19798","14.18016","13.80672","14.03022","13.88031","13.74778","13.95625","13.74651","14.14601","14.09741","13.71732","13.94632","14.06953","13.77297","13.98633","14.12540","14.10891","13.82704","13.64795","13.86475","14.07579","14.00370","13.83998","13.91546","13.68494","13.73779","13.81383","13.61343","13.80883","14.05556","13.85769","14.12237","13.80149","13.73216","14.17310","14.16569","13.98794","13.64207","14.18143","13.87504","13.99895","14.29260","13.85145","14.17891","13.76051","13.80096","14.15969","13.60724","13.63999","13.63749","13.75686","13.97672","13.94853","13.86118","13.93455","14.26015","13.70657","13.97444","13.68795","13.81894","14.00579","13.97616","13.73993","14.05685","13.92406","14.54971","14.01386","13.85640","13.96808","13.97593","13.93980","14.32099","13.93871","14.16829","13.50816","13.71742","13.67922","13.99075","13.82421","13.88692","13.81630","13.77186","13.95719","13.78464","14.33406","14.16133","13.91245","13.75639","14.06563","13.93135","13.85914","13.83908","13.86524","14.06046","13.41241","13.82612","14.42388","13.86469","13.96682","14.07357","13.99694","13.88981","14.10658","13.48986","14.24110","14.05742","14.14058","13.99186","14.16742","14.21655","13.84221","13.91076","13.98730","14.04922","13.58628","14.36250","14.44996","13.87715","13.63195","13.57204","13.65059","14.04310","13.78249","13.58130","14.06270","13.68940","13.86945","14.34044","14.14983","14.03247","13.83548","13.60341","13.91936","13.98838","13.93150","13.83778","14.04462","14.18070"
"714","16.69713","17.04361","17.12852","17.64687","16.56135","17.67010","17.04932","17.37777","17.09192","17.19327","17.26993","17.05334","17.29139","17.05166","17.16298","16.97810","17.20461","17.93141","17.64816","16.81550","17.31891","16.88804","17.55648","17.19632","17.36970","18.01836","17.62246","17.53948","17.67534","17.43296","17.13500","17.15715","17.13721","17.00524","17.41266","17.98334","18.05521","17.48127","17.48101","18.12979","17.43126","17.61618","17.82377","16.96794","17.67871","17.47875","17.08537","16.50213","17.21962","17.58279","16.90746","16.87340","17.44728","17.37422","16.95063","17.02604","17.18763","17.59615","17.48642","17.03607","17.57759","17.92062","17.50399","16.61540","17.32546","16.74266","17.65159","17.63016","17.39491","17.13422","17.71065","17.28292","16.91284","17.58389","17.76620","17.89932","17.86916","17.34071","17.13966","16.65585","17.40563","17.41044","17.96536","16.92032","17.04345","16.80778","16.69094","17.27107","17.03515","17.42997","17.08251","16.72965","17.23436","17.43843","17.26994","16.91478","17.38623","17.75618","16.95453","17.33428","17.32382","17.06453","17.58558","17.71334","16.97371","17.23777","17.44393","17.30091","17.76871","17.89566","17.80292","17.47472","17.49136","17.78849","17.89764","17.31108","17.44828","17.89739","17.30445","17.04554","17.25339","17.66233","17.10189","17.13650","17.08746","17.31420","17.16464","17.16663","17.25984","17.46660","17.27730","17.54953","17.92848","17.57764","17.73379","17.27736","16.97068","16.88488","17.20050","17.22089","17.27746","17.46585","16.83076","16.72292","17.13483","16.94025","16.75580","17.66083","17.33299","16.98422","17.41938","17.13927","17.66668","17.43843","17.41047","16.88278","17.37549","17.98349","17.77486","17.56804","17.59071","17.03656","18.57107","16.97930","17.49016","17.18511","18.57142","17.66476","17.47420","17.07382","16.57496","16.38526","16.42786","17.43102","17.61241","17.54761","17.32208","17.32069","16.93096","16.37824","18.13252","16.26277","16.65472","16.93090","16.73283","16.76041","18.00409","17.55113","17.22081","16.94440","17.63507","17.30063","16.80031","17.13115","16.97539","17.31139","16.97111","17.52903","17.89268","17.91749","16.75969","16.91834","17.13935","17.65317","17.08713","16.79719","17.61097","17.49230","17.40760","17.52825","17.30737","17.98576","16.58262","17.12315","17.06826","16.19806","16.43488","17.09904","17.56234","17.51631","18.01739","16.77086","16.94498","17.05247","14.85809","17.02644","16.96362","16.95141","16.93517","17.32449","16.79253","16.64397","17.74578","17.02476","16.27079","18.05202","17.42440","17.16929","16.97532","17.29180","16.88704","17.40375","16.96822","18.07290","16.99706","17.05355"
"715","15.04233","16.12135","15.85754","17.10201","15.55852","15.88824","16.43611","15.71341","16.53327","16.10513","15.12520","14.91360","16.36048","15.89884","15.65077","16.06772","15.43802","16.63561","17.31918","15.08894","16.61505","15.49626","16.74139","15.74682","17.02690","17.42814","16.58872","16.92340","17.22995","16.32261","15.89799","16.29163","16.01069","15.84540","16.35018","17.50947","17.31385","15.91965","16.78468","17.26735","15.68506","15.71150","16.54086","15.29939","16.73828","17.00124","15.41116","15.42317","16.25741","16.42679","15.55207","15.77295","15.16204","16.47199","15.69705","16.47624","16.37875","16.63027","16.72185","15.96661","16.48247","16.67506","16.62199","15.78385","16.37338","15.59382","16.35730","16.74637","16.17220","15.38052","17.11152","16.56357","15.32750","16.81847","16.84711","17.24246","17.48330","15.92909","16.14179","15.85096","15.96703","16.54854","16.81845","15.80477","16.14183","15.04069","14.61307","16.83748","15.86519","16.32178","15.94791","15.32112","16.26543","16.38565","15.57640","15.31158","15.46299","17.37526","15.71371","16.10628","16.06733","16.32947","15.87009","17.33242","15.51899","16.18794","16.41281","16.03283","16.68794","16.63045","17.42595","15.23374","16.71016","16.50277","16.80927","15.92982","16.50754","16.98964","16.52528","15.67080","16.41893","16.98598","16.39670","15.36798","15.99261","16.67667","16.03013","16.13385","16.04644","16.28059","16.51350","16.58592","16.90673","16.20245","16.63754","15.71279","15.23192","16.34411","15.71495","16.19765","15.72669","15.84126","14.63270","16.52506","16.22915","15.70435","15.43782","17.17361","16.60118","16.00484","15.50614","15.77840","16.28146","16.61257","16.62614","15.36467","16.59000","17.58264","16.29406","16.66124","16.80520","16.21310","17.85542","16.23545","16.80126","16.40709","17.73565","16.72786","16.35529","15.99317","15.39615","15.49316","14.93167","15.78273","16.11171","16.19038","16.33424","17.30923","15.40277","15.43685","17.22003","15.33761","15.32559","15.54627","15.08098","16.12652","17.21345","16.36741","16.16682","15.74351","16.52349","15.64903","15.92555","16.25821","16.02091","16.44661","15.43849","17.22805","16.63373","13.71742","15.18455","16.05337","14.73380","16.95091","15.98117","15.43619","16.66879","15.96895","16.71857","15.09017","17.11530","16.89254","15.34792","16.47876","15.96158","15.24687","15.48591","16.26986","17.03283","16.37052","17.36105","15.66414","16.08020","16.17551","14.25904","16.47510","15.37309","15.94253","15.55826","15.96006","15.49014","15.38171","16.26855","15.84293","15.03411","17.51422","16.58634","16.00619","15.73710","16.00119","16.01184","16.21981","15.66014","17.06914","15.55373","16.12489"
"716","15.18524","15.25266","15.45431","15.38896","15.42416","15.23345","15.47778","15.13599","15.39966","15.50653","14.51745","14.80034","15.28064","15.18548","15.38063","16.62157","15.20280","15.42365","15.59730","15.19533","15.49163","15.27899","14.89355","15.73004","15.29162","15.45311","15.31800","16.22118","15.70955","15.05687","15.55404","15.02408","16.12206","14.86652","15.10593","15.16599","15.35258","15.27468","15.32408","15.21750","15.17997","15.64741","15.03621","15.17685","14.31824","14.93345","15.24596","14.95326","15.55988","15.20766","15.32407","15.62521","15.30607","15.34602","15.69282","15.97927","15.91342","15.52937","15.37327","15.00488","15.15845","15.50348","15.66843","15.73599","15.41008","16.84471","15.22326","15.41748","15.64040","14.95966","15.22290","15.95167","15.06718","15.60051","15.16773","14.82086","15.56080","15.00976","15.10002","15.48714","15.28685","15.15883","15.29112","15.85112","15.56780","15.36919","15.27894","16.72674","15.44608","16.00491","15.10119","15.61802","15.70473","15.41221","15.40264","14.85867","15.04149","15.50633","15.19954","15.32994","15.31462","15.61352","14.70876","15.52406","15.82455","15.38753","15.31188","15.22984","15.35062","14.98141","14.79014","15.50972","15.35912","15.27761","15.42360","15.36296","16.20229","13.14694","15.43145","15.23337","16.75144","15.20411","15.46749","15.07202","15.36285","15.38425","15.50742","15.61901","15.98290","15.43684","15.05235","15.95771","14.79037","14.78337","15.44768","15.29141","15.57301","15.78576","15.00098","15.24783","15.27912","14.97288","14.92794","15.16586","15.75770","14.88257","15.61553","14.84944","15.43721","15.28929","15.17830","15.21153","15.19897","14.99541","15.55461","14.43161","15.27066","15.62581","15.15529","15.48551","15.69095","15.28865","15.24899","15.51781","16.01057","15.62945","15.02041","15.00017","15.12720","14.90965","15.50941","15.51800","15.00455","15.99664","15.48373","15.22947","15.16715","15.85831","15.78615","16.58793","15.06170","15.33651","15.22762","15.28439","15.38648","15.45426","15.32154","15.37423","15.40749","16.13047","15.24955","15.23307","15.82279","15.07321","16.01776","15.46391","15.14227","15.43957","15.20489","13.22610","15.48217","15.47732","14.49582","15.53224","15.26931","15.39665","14.83116","14.92142","15.67853","15.19189","15.93373","15.01438","15.35745","16.12907","15.54562","16.10028","15.08576","15.36377","15.51836","15.49365","15.41573","15.47207","15.21332","15.22205","14.99672","16.11644","15.03948","15.20137","15.44592","15.23519","15.55810","14.76390","14.54361","15.12250","15.69657","15.27829","15.26889","15.36131","15.61408","15.13613","15.64131","14.72562","15.51400","15.58038","15.60835","16.02727"
"718","14.88163","14.76989","14.82214","15.12260","15.22092","15.05459","14.98864","14.71856","14.94182","14.72118","14.91195","15.04869","14.96551","15.08243","14.81821","15.16256","14.90653","14.94365","15.04158","15.05811","14.85334","15.02968","14.91373","15.07754","14.84574","14.75615","14.99413","14.95588","14.71887","14.93748","14.90122","15.03108","14.88386","15.04502","14.82722","14.92204","14.76163","14.79399","15.13345","14.75135","15.11831","14.89118","15.06398","14.91685","15.34189","14.99491","14.80338","15.18487","14.96465","14.91809","15.16804","14.99770","14.27611","14.56686","15.02227","15.09106","14.96152","14.82813","15.02938","15.13364","15.09735","14.80814","14.96646","14.77751","14.85642","15.03326","14.88753","14.90994","15.06301","15.07231","14.98261","15.00854","15.15037","14.89950","14.76795","14.93854","14.94881","14.82923","14.99080","15.15794","14.98783","14.89021","14.78960","15.04907","15.41356","14.85807","14.99168","14.69096","15.14991","14.94315","15.17843","15.25796","14.92278","15.03015","15.15764","15.22663","14.98646","14.84878","15.05243","14.85944","14.95559","15.12049","14.95944","14.91292","15.08281","15.14562","14.91783","15.02549","15.14874","15.19533","14.79516","14.64553","15.21772","14.89353","14.79813","14.79714","15.19089","15.06821","14.99048","15.00680","15.06097","14.87694","14.77922","15.02043","15.15391","15.03758","14.98413","14.98437","14.97616","14.95315","14.98855","14.92207","14.68706","15.08559","14.87658","14.38622","14.87385","15.07777","14.82662","15.08467","15.06451","14.95245","14.74827","14.97914","14.65923","15.03364","15.16106","15.02913","15.09232","14.79926","15.07300","14.97511","14.94674","14.94974","15.12442","14.93259","14.84064","14.91639","14.83783","14.86559","14.91990","15.20886","14.58157","15.11889","14.96782","14.67947","14.83914","14.78426","14.90314","14.81484","15.11069","14.92366","15.17317","15.19314","14.95852","15.15794","14.80299","14.82960","15.14904","15.11565","14.99104","14.85965","14.81177","15.01284","14.95015","15.04622","14.95647","15.04665","14.72409","14.84318","15.12024","14.76657","15.13428","15.02448","15.06112","15.01222","15.19504","14.97622","14.83689","14.96243","15.10164","15.05842","14.94240","15.18491","15.07446","14.87564","15.03756","15.12990","14.98142","14.74724","14.98264","14.54289","15.08025","14.96163","14.93010","15.21187","14.92378","15.31241","14.98588","14.76976","14.73481","15.13972","14.97668","15.18551","14.80032","14.96157","14.85005","14.86318","14.67786","14.84634","14.88196","14.89909","14.70160","14.88375","14.97393","15.02071","15.15649","15.11736","14.98923","15.08491","14.81781","14.87241","14.79337","14.86881","15.12585","15.18992"
"720","14.00742","14.06280","14.02959","14.33896","14.27383","14.21609","14.08343","14.01122","13.95744","14.01936","13.73176","14.01522","13.90867","14.13262","14.33627","14.03498","13.83440","14.08942","14.31233","14.24082","14.35271","14.08943","14.13487","14.26214","14.13561","14.03999","14.02647","14.29507","14.24768","14.06341","14.02758","13.98877","14.23398","13.91555","14.04498","14.02930","14.10761","14.26535","13.90201","13.98392","13.86078","14.09284","14.09754","14.02939","14.88429","13.86866","14.06205","13.86851","13.97041","14.42578","13.94572","14.15688","13.82301","13.84423","14.01750","14.07212","13.95912","14.03486","14.01487","14.24044","14.29253","14.25705","14.24708","13.69238","14.03278","14.40736","14.41934","14.18012","14.22564","14.07611","13.55590","14.16632","14.22577","13.92496","14.21793","13.98484","14.09741","14.03645","13.88973","13.98070","14.04465","13.95974","14.07903","14.07937","14.51538","13.46232","14.25520","14.16679","13.99036","14.28541","14.21915","14.04879","14.03893","14.11368","14.37300","14.33260","14.03527","14.10475","13.82307","13.94076","13.88703","14.05618","13.86151","14.22538","14.25987","14.01715","14.13415","13.81594","14.28376","14.01460","13.99835","13.87983","14.06139","14.00566","14.26564","14.26082","14.23638","14.55084","13.69478","14.08648","13.79882","14.02114","13.89639","13.64422","14.48226","13.92184","13.91526","13.82679","13.96236","14.07189","13.94967","14.38784","13.65123","14.14147","13.63303","13.91831","13.93825","14.06616","14.13678","14.33995","14.19803","14.20203","14.10616","13.95278","13.76018","14.16044","13.93798","14.38562","14.10038","14.16031","14.21914","14.26179","14.13715","14.06230","14.21197","14.13700","13.85926","13.78744","14.08931","14.20631","14.00003","14.32001","14.13250","13.97075","13.61772","14.06351","13.99637","13.86892","14.17983","14.33471","14.42851","14.18169","14.04109","14.16965","14.36031","14.28764","14.42372","13.90472","13.86990","13.97433","14.35441","14.13842","13.91912","13.79767","13.73919","14.17617","13.95950","13.75012","13.74083","14.06595","14.07817","14.07987","14.15082","14.06399","14.21960","14.04561","13.74673","14.00930","14.30262","14.75071","14.23025","14.07584","13.81303","14.03911","14.02699","14.31466","14.10794","14.14818","14.09761","14.03023","14.28725","13.64848","14.37292","14.01145","13.89724","13.70943","13.93996","14.26579","14.31698","14.00019","14.25061","14.37493","13.88343","14.49588","14.33527","14.07412","13.76466","14.05305","13.83811","14.35238","13.96182","13.93126","14.26009","13.80987","14.24764","14.82741","13.93488","14.15691","13.50598","13.90608","13.81791","13.86187","13.99185","14.06221","14.22865","13.99504"
"721","13.86517","13.76276","13.96028","13.68922","14.14192","13.99100","13.85204","13.90252","14.06034","13.91144","13.67161","13.95540","13.76101","13.86523","14.28604","14.07208","13.44033","14.27282","13.91507","13.77510","14.44399","13.59074","13.66742","13.98365","13.67197","13.86533","13.77065","13.89072","13.94563","13.96448","13.82662","13.71630","14.19332","13.66339","13.85982","13.99325","13.51055","14.00427","13.63025","13.81565","13.84338","13.66450","14.10717","13.87525","14.37220","13.89796","13.73566","13.59991","13.94546","14.16025","13.61373","13.65464","13.98834","13.81485","13.77298","13.60985","14.19388","13.73853","13.58307","14.39529","14.33315","13.83993","13.87871","13.54193","14.10241","13.95447","14.45571","13.89196","14.15522","13.79495","13.85978","13.97116","13.68361","13.85694","14.09069","13.84113","13.60093","13.93001","14.04449","14.13482","13.92106","14.08398","13.74251","14.02180","14.51486","13.58298","13.92771","13.67721","13.88394","14.02664","13.47585","13.95173","13.97904","13.65841","13.83561","14.08274","14.09838","13.70319","13.39585","13.83624","13.96891","13.98890","13.65458","13.80849","13.83864","13.79093","13.90473","13.82688","14.21709","14.05041","13.65755","14.08485","14.30047","13.94360","13.91647","13.99865","13.92044","14.55849","14.26999","14.19076","14.36949","13.82465","13.36294","13.85705","14.17612","13.51768","13.73092","13.99079","13.87597","14.15179","13.68224","13.85716","13.71521","13.77229","13.81695","13.82714","13.98867","14.00285","13.76168","13.99007","14.01055","14.10908","13.68198","14.12842","13.51301","13.87006","14.33259","14.07298","14.17050","14.09284","13.94536","14.23774","13.94343","13.92920","13.98262","13.75328","13.60738","13.65834","13.87929","13.77672","13.94831","13.87098","14.26108","13.82809","14.02590","14.04642","13.81933","13.71982","13.87591","13.99972","13.72375","14.13494","13.92170","13.87907","14.33087","14.13612","14.21305","13.76887","13.78783","13.88723","14.09748","13.60515","13.61048","13.73670","13.64741","14.22009","13.75490","13.51499","13.84388","13.82213","13.70143","13.77487","14.10604","13.77328","13.91169","13.87147","13.90758","13.58762","14.12337","14.69217","13.92433","14.02760","13.73162","13.94962","14.42257","13.90926","14.33678","13.93434","14.07524","13.59790","14.03168","13.56783","13.92930","13.96359","14.14034","13.93886","13.89252","13.99331","13.91052","13.73734","13.84662","14.14442","13.80432","13.94680","13.85977","13.88795","13.61193","13.98240","13.49211","13.98087","13.85710","13.54742","14.25083","13.60577","13.91992","14.16420","14.25289","13.80493","13.94393","14.12471","13.82173","13.65204","13.81345","13.69537","13.43595","13.78124"
